"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T09:30Z[UTC]","","18.63","29.99","101.11","1024.06","0.5256","4.6","0.6","1.1","0.11","254.0","2.0","4.0","333.0","18.3","91.0","","2.70000005E15","0.905","0.3","208.0","","4.51E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T10:00Z[UTC]","","18.63","30.0","101.11","1024.07","0.5112","4.3","0.6","0.7","0.13","236.0","7.0","11.0","138.0","18.7","91.0","","6.4200001E15","0.9955","0.3","235.0","","4.55E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T10:30Z[UTC]","","18.73","30.01","101.11","1024.08","0.54","4.4","0.6","0.8","0.12","259.0","7.0","12.0","192.0","19.0","90.0","","4.44000002E15","0.9955","0.4","233.0","","4.62E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T11:00Z[UTC]","","18.74","30.0","101.11","1024.07","0.4752","4.1","0.7","1.0","0.11","247.0","24.0","30.0","164.0","19.0","90.0","","1.50000004E16","0.9955","0.3","265.0","","4.7E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T11:30Z[UTC]","","18.78","29.98","101.13","1024.06","0.4032","4.1","0.7","1.4","0.22","244.0","22.0","30.0","164.0","19.0","91.0","","2.77200002E16","0.9955","0.4","272.0","","4.56E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T12:00Z[UTC]","","18.7","29.97","101.15","1024.05","0.3168","4.0","0.8","1.3","0.24","263.0","15.0","21.0","201.0","19.1","94.0","","3.24000006E16","0.8145","0.4","297.0","","4.36E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T12:30Z[UTC]","","18.75","29.96","101.15","1024.04","0.3168","4.4","0.9","1.2","0.18","277.0","12.0","19.0","323.0","18.4","90.0","","3.7260001E16","0.905","0.4","282.0","","4.34E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T13:00Z[UTC]","","18.82","29.97","101.2","1024.05","0.3384","4.3","0.9","1.4","0.15","281.0","12.0","16.0","300.0","18.6","85.0","","3.20999993E16","0.9955","0.4","280.0","","4.58E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T13:30Z[UTC]","","18.9","29.96","101.2","1024.04","0.252","4.2","0.7","1.3","0.23","296.0","8.0","12.0","237.0","18.9","83.0","","5.7300001E16","0.9955","0.5","271.0","","4.49E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T14:00Z[UTC]","","19.03","29.96","101.2","1024.04","0.2448","4.5","1.0","1.7","0.22","288.0","14.0","20.0","235.0","18.9","86.0","","5.058E16","0.8145","0.4","270.0","","4.41E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T14:30Z[UTC]","","","","","","0.2376","","","","0.22","296.0","","","","","","","6.174E16","0.8145","0.0","","","4.3E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T15:00Z[UTC]","","","","","","0.2448","","","","0.23","292.0","","","","","","","6.654E16","0.905","0.0","","","4.34E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T15:30Z[UTC]","","","","","","0.2376","","","","0.21","304.0","","","","","","","7.29E16","0.905","0.0","","","4.26E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T16:00Z[UTC]","","","","","","0.3024","","","","0.21","290.0","","","","","","","3.6540001E16","0.905","0.0","","","4.21E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T16:30Z[UTC]","","","","","","0.252","","","","0.24","283.0","","","","","","","5.1959999E16","0.8145","0.0","","","4.21E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2023-08-01T17:00Z[UTC]","","","","","","0.2376","","","","0.19","284.0","","","","","","","6.5160001E16","0.8145","0.0","","","4.23E-4"
