"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T16:00Z[UTC]","","15.5","30.74","101.2","1022.59","0.2016","4.9","1.1","1.8","","","10.0","16.0","278.0","16.1","85.0","0.1","6.9779999E16","4.63","","124.0","","9.391E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T16:30Z[UTC]","","15.79","30.81","101.21","1022.58","0.1872","4.8","1.1","1.7","","","10.0","16.0","310.0","16.3","85.0","0.1","7.1100001E16","4.73","","124.0","","8.91E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T17:00Z[UTC]","","15.91","30.8","101.22","1022.54","0.18","5.0","1.1","1.6","","","14.0","20.0","310.0","16.4","85.0","0.1","6.918E16","4.54","","144.0","","8.874E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T17:30Z[UTC]","","16.13","30.74","101.240005","1022.45","0.1872","5.0","1.0","1.4","","","8.0","14.0","319.0","16.5","85.0","0.1","6.7080002E16","4.73","","158.0","","8.892E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T18:00Z[UTC]","","16.18","30.68","101.240005","1022.39","0.1872","4.9","1.0","1.6","","","10.0","15.0","3.0","16.5","85.0","0.1","6.3660001E16","4.63","","183.0","","9.106E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T18:30Z[UTC]","","16.31","30.68","101.28","1022.37","0.2016","5.1","1.1","1.6","","","7.0","12.0","349.0","16.0","87.0","0.1","5.0280001E16","4.63","","190.0","","9.177E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T19:00Z[UTC]","","16.39","30.65","101.28","1022.32","0.216","5.2","0.9","1.6","","","10.0","14.0","19.0","16.2","88.0","0.1","3.9299999E16","4.73","","230.0","","9.302E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T19:30Z[UTC]","","16.45","30.65","101.3","1022.31","0.2376","5.4","0.9","1.5","","","2.0","6.0","34.0","16.2","88.0","0.1","3.72E16","4.73","","250.0","","9.462E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T20:00Z[UTC]","","16.61","30.59","101.3","1022.22","0.288","5.0","0.9","1.4","","","10.0","14.0","194.0","16.2","88.0","0.1","2.38200003E16","4.82","","278.0","","9.391E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T20:30Z[UTC]","","16.65","30.54","101.32","1022.18","0.2952","5.2","0.8","1.2","","","3.0","6.0","277.0","15.8","89.0","0.1","2.38200003E16","4.73","","298.0","","9.177E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T21:00Z[UTC]","","16.68","30.63","101.32","1022.24","0.36","5.0","0.8","1.3","","","3.0","7.0","295.0","15.8","89.0","0.1","1.72200003E16","4.73","","310.0","","9.302E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T21:30Z[UTC]","","16.61","30.62","101.36","1022.25","0.4392","4.4","0.8","1.3","","","4.0","8.0","194.0","15.6","89.0","0.1","9.1200001E15","4.73","","321.0","","9.373E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T22:00Z[UTC]","","16.41","30.64","101.36","1022.31","0.4752","4.8","0.7","1.1","","","4.0","7.0","239.0","15.6","89.0","0.1","7.1399998E15","4.73","","337.0","","9.427E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T22:30Z[UTC]","","16.36","30.65","101.4","1022.33","0.4824","4.7","0.8","1.5","","","3.0","6.0","273.0","15.5","89.0","0.1","5.58E15","4.73","","352.0","","9.605E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T23:00Z[UTC]","","15.9","30.54","101.4","1022.35","0.5184","4.6","0.7","1.3","","","3.0","7.0","144.0","15.5","89.0","0.1","1.62000006E15","4.91","","2.0","","0.001019"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-28T23:30Z[UTC]","","16.21","30.49","101.43","1022.24","0.4824","4.3","0.7","1.1","","","6.0","10.0","124.0","15.2","90.0","0.1","4.19999986E14","4.91","","8.0","","9.694E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T00:00Z[UTC]","","16.54","30.5","101.43","1022.17","0.4752","4.6","0.7","1.2","","","6.0","9.0","70.0","15.0","90.0","0.0","0.0","5.01","","23.0","","9.445E-4"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T00:30Z[UTC]","","16.45","30.47","101.43","1022.17","0.4896","4.5","0.7","1.1","","","8.0","11.0","94.0","15.3","90.0","0.0","0.0","5.01","","39.0","","0.001001"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T01:00Z[UTC]","","16.04","30.4","101.43","1022.21","0.5472","4.9","0.7","0.9","","","10.0","14.0","148.0","15.2","90.0","0.0","0.0","5.28","","44.0","","0.001148"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T01:30Z[UTC]","","16.34","30.36","101.409996","1022.11","0.5544","4.5","0.7","1.1","","","14.0","18.0","148.0","15.2","90.0","0.0","0.0","5.28","","44.0","","0.001149"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T02:00Z[UTC]","","15.98","30.32","101.409996","1022.16","0.5616","4.7","0.6","1.0","","","12.0","14.0","158.0","15.2","90.0","0.0","0.0","5.38","","51.0","","0.001219"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T02:30Z[UTC]","","16.03","30.32","101.409996","1022.15","0.5544","5.0","0.7","1.1","","","12.0","16.0","153.0","15.4","90.0","0.0","0.0","5.38","","54.0","","0.001196"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T03:00Z[UTC]","","16.08","30.31","101.39","1022.13","0.5472","4.6","0.6","1.0","","","13.0","16.0","152.0","15.3","91.0","0.0","0.0","5.38","","56.0","","0.00119"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T03:30Z[UTC]","","16.0","30.3","101.37","1022.14","0.5472","4.7","0.7","1.1","","","13.0","17.0","161.0","15.3","91.0","0.0","0.0","5.47","","60.0","","0.001222"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-07-29T04:00Z[UTC]","","15.91","30.29","101.38","1022.15","0.5472","4.7","0.7","1.1","","","15.0","20.0","166.0","15.5","91.0","0.0","0.0","5.47","","63.0","","0.001224"
