"Station","Position (geoJSON)","Fournisseur","date","Profondeur","Temp. de l'eau","Salinité","Pression","Densité","Fluorescence","Période de vague","Hauteur de vague moy.","Hauteur de vague max.","Courant - Vitesse (6m)","Courant-Direction(6m)","Vitesse du vent","Rafales","Direction du vent","Temp. air","Humidité","Précipitation","PAR","CDOM","Courant - Vitesse (0m)","Courant-Direction(0m)","Eau - pH","Eau - Rétrodiffusion"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T18:30Z[UTC]","","0.2","878.0","99.83","4.56","24.92","0.2808","4.73","","0.4","353.0","33.0","42.0","181.0","7.3","87.0","","","","0.0","0.9","3.493E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T19:00Z[UTC]","","0.2","751.0","99.840004","4.6","24.92","0.288","4.63","","0.4","7.0","31.0","41.0","188.0","7.4","86.0","","","","0.0","0.4","2.014E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T19:30Z[UTC]","","0.2","704.0","99.85","4.62","24.92","0.2952","4.54","","0.4","18.0","31.0","40.0","188.0","8.2","86.0","","","","0.0","1.1","2.459E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T20:00Z[UTC]","","0.2","670.0","99.86","4.62","24.92","0.288","4.54","","0.3","17.0","26.0","37.0","195.0","8.1","81.0","","","","0.0","0.4","2.103E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T20:30Z[UTC]","","0.2","675.0","99.87","4.62","24.92","0.3024","4.63","","0.4","25.0","29.0","36.0","233.0","8.9","75.0","","","","0.0","0.2","2.174E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T21:00Z[UTC]","","0.2","493.0","99.9","4.63","24.91","0.324","4.54","","0.5","40.0","30.0","39.0","228.0","8.8","74.0","","","","0.0","1.1","2.031E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T21:30Z[UTC]","","0.2","325.0","99.94","4.64","24.91","0.3744","4.63","","0.4","54.0","35.0","46.0","231.0","9.2","73.0","","","","0.0","0.6","2.121E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T22:00Z[UTC]","","0.2","131.0","99.979996","4.62","24.91","0.6552","4.73","","0.5","72.0","43.0","60.0","236.0","9.4","73.0","","","","0.0","0.1","2.548E-4","31.46"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T22:30Z[UTC]","","0.2","122.0","100.009995","4.55","24.92","0.6552","4.73","","0.6","82.0","35.0","45.0","231.0","8.5","76.0","","","","0.0","0.2","2.459E-4","31.45"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T23:00Z[UTC]","","0.2","94.0","100.07","4.51","24.92","0.7632","4.73","","0.5","85.0","36.0","50.0","230.0","8.4","76.0","","","","0.0","0.9","2.121E-4","31.45"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-01T23:30Z[UTC]","","0.2","40.0","100.11","4.47","24.92","0.7992","4.73","","0.5","99.0","35.0","48.0","226.0","8.0","78.0","","","","0.0","1.4","2.691E-4","31.44"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T00:00Z[UTC]","","0.0","4.0","100.18","4.42","24.92","0.6984","4.73","","0.5","96.0","32.0","44.0","236.0","7.9","78.0","","","","0.0","0.7","2.53E-4","31.44"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T00:30Z[UTC]","","0.0","0.0","100.28","4.37","24.92","0.648","4.73","","0.5","104.0","27.0","37.0","226.0","7.7","78.0","","","","0.0","0.4","2.245E-4","31.44"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T01:00Z[UTC]","","0.0","0.0","100.28","4.38","24.92","0.5112","4.82","","0.5","99.0","24.0","31.0","233.0","7.7","78.0","","","","0.0","0.6","1.996E-4","31.43"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T01:30Z[UTC]","","0.0","0.0","100.39","4.46","24.91","0.4392","4.73","","0.6","109.0","32.0","42.0","235.0","7.6","79.0","","","","0.0","0.9","1.871E-4","31.43"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T02:00Z[UTC]","","0.0","0.0","100.43","4.48","24.9","0.4104","4.73","","0.5","112.0","31.0","40.0","231.0","7.6","79.0","","","","0.0","0.4","1.889E-4","31.42"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T02:30Z[UTC]","","0.0","0.0","100.47","4.47","24.9","0.4032","4.73","","0.5","125.0","30.0","42.0","230.0","7.3","79.0","","","","0.0","0.6","1.978E-4","31.42"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T03:00Z[UTC]","","0.0","0.0","100.47","4.49","24.9","0.4104","4.82","","0.4","129.0","32.0","41.0","222.0","7.3","79.0","","","","0.0","0.4","1.871E-4","31.42"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T03:30Z[UTC]","","0.0","0.0","100.490005","4.5","24.9","0.4248","4.82","","0.4","142.0","32.0","45.0","211.0","7.2","81.0","","","","0.0","0.8","1.835E-4","31.43"
"IML-10","{""type"":""Point"",""coordinates"":[-60.5, 48]}","Pêches et Océans Canada - MPO","2025-06-02T04:00Z[UTC]","","0.0","0.0","100.490005","4.51","24.9","0.4104","4.82","","0.3","154.0","36.0","46.0","219.0","7.2","81.0","","","","0.0","0.6","1.746E-4","31.43"
